| age_category | gender | dependent_count | education     | marital  | income_category | card_category | years_on_book | total_relationship_count | months_inactive_12_mon | contacts_count_12_mon | credit_limit | total_revolving_bal | avg_open_to_buy | total_trans_amt | total_trans_ct | avg_utilization_ratio |
| 40s          | M      | 2               | High School   | Single   | $60K - $80K     | Blue          | 2 - 3         | 4                        | 3                      | 1                     | 1641         | 0                   | 1641            | 2536            | 45             | 0                     |
| 40s          | M      | 3               | High School   | Single   | $60K - $80K     | Silver        | 2 - 3         | 5                        | 2                      | 3                     | 25276        | 0                   | 25276           | 2282            | 38             | 0                     |
| 30s          | F      | 1               | College       | Single   | Less than $40K  | Blue          | 2 - 3         | 6                        | 2                      | 3                     | 3119         | 2517                | 602             | 2492            | 50             | 0,81                  |
| 40s          | F      | 4               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 6                        | 2                      | 2                     | 2803         | 0                   | 2803            | 2216            | 40             | 0                     |
| 40s          | F      | 3               | Unknown       | Divorced | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 2                     | 1693         | 1457                | 236             | 2829            | 42             | 0,86                  |
| 50s          | M      | 2               | High School   | Single   | $120K +         | Blue          | 3 - 4         | 6                        | 3                      | 3                     | 34516        | 0                   | 34516           | 2213            | 47             | 0                     |
| 40s          | F      | 2               | High School   | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 2                      | 2                     | 2811         | 2404                | 407             | 2245            | 41             | 0,85                  |
| 50s          | F      | 1               | Unknown       | Single   | Less than $40K  | Blue          | 4 - 5         | 5                        | 6                      | 2                     | 7501         | 2517                | 4984            | 2280            | 49             | 0,34                  |
| 50s          | F      | 1               | Graduate      | Single   | Unknown         | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 10031        | 0                   | 10031           | 1792            | 29             | 0                     |
| 30s          | F      | 3               | Graduate      | Single   | $40K - $60K     | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 2669         | 0                   | 2669            | 2271            | 31             | 0                     |
| 40s          | F      | 3               | College       | Single   | Less than $40K  | Blue          | 2 - 3         | 6                        | 2                      | 2                     | 1951         | 0                   | 1951            | 2697            | 45             | 0                     |
| 40s          | F      | 2               | High School   | Married  | Less than $40K  | Blue          | 2 - 3         | 6                        | 3                      | 3                     | 1438         | 455                 | 983             | 2090            | 50             | 0,32                  |
| 50s          | M      | 2               | Unknown       | Married  | $60K - $80K     | Blue          | 3 - 4         | 4                        | 3                      | 4                     | 3143         | 0                   | 3143            | 2297            | 37             | 0                     |
| 40s          | M      | 5               | Graduate      | Divorced | $60K - $80K     | Blue          | 2 - 3         | 3                        | 3                      | 6                     | 6538         | 0                   | 6538            | 2132            | 33             | 0                     |
| 40s          | F      | 3               | Unknown       | Divorced | $40K - $60K     | Blue          | 2 - 3         | 2                        | 3                      | 2                     | 1689         | 0                   | 1689            | 1588            | 37             | 0                     |
| 50s          | F      | 2               | Uneducated    | Single   | Less than $40K  | Blue          | 4 - 5         | 3                        | 5                      | 2                     | 1614         | 0                   | 1614            | 1690            | 38             | 0                     |
| 30s          | M      | 4               | Graduate      | Married  | $80K - $120K    | Blue          | 2 - 3         | 5                        | 2                      | 2                     | 17523        | 0                   | 17523           | 1974            | 54             | 0                     |
| 30s          | M      | 2               | College       | Single   | $80K - $120K    | Blue          | 2 - 3         | 4                        | 3                      | 2                     | 9642         | 1431                | 8211            | 2172            | 33             | 0,15                  |
| 40s          | F      | 2               | Unknown       | Single   | Less than $40K  | Blue          | 2 - 3         | 6                        | 3                      | 3                     | 1731         | 0                   | 1731            | 2304            | 46             | 0                     |
| 40s          | F      | 3               | Unknown       | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 2                     | 1855         | 0                   | 1855            | 2544            | 27             | 0                     |
| 40s          | F      | 3               | College       | Single   | Less than $40K  | Blue          | 2 - 3         | 4                        | 3                      | 1                     | 1605         | 890                 | 715             | 2722            | 45             | 0,56                  |
| 40s          | F      | 3               | Graduate      | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 2302         | 1593                | 709             | 2689            | 49             | 0,69                  |
| 50s          | F      | 4               | Post-Graduate | Unknown  | Less than $40K  | Blue          | 3 - 4         | 5                        | 3                      | 3                     | 2440         | 503                 | 1937            | 2334            | 51             | 0,21                  |
| 40s          | F      | 3               | Unknown       | Single   | Less than $40K  | Blue          | 2 - 3         | 4                        | 3                      | 6                     | 2402         | 628                 | 1774            | 1930            | 48             | 0,26                  |
| 40s          | F      | 2               | Unknown       | Single   | $40K - $60K     | Blue          | 2 - 3         | 5                        | 3                      | 6                     | 3001         | 0                   | 3001            | 2577            | 39             | 0                     |
| 50s          | M      | 2               | High School   | Single   | $80K - $120K    | Blue          | 4 - 5         | 3                        | 2                      | 2                     | 2791         | 2396                | 395             | 2658            | 43             | 0,86                  |
| 40s          | M      | 5               | Post-Graduate | Single   | $120K +         | Silver        | 3 - 4         | 5                        | 3                      | 1                     | 34516        | 2517                | 31999           | 2260            | 50             | 0,07                  |
| 50s          | F      | 3               | Graduate      | Divorced | Less than $40K  | Blue          | 3 - 4         | 5                        | 3                      | 3                     | 1495         | 691                 | 804             | 2552            | 42             | 0,46                  |
| 40s          | M      | 3               | Doctorate     | Single   | $120K +         | Blue          | 2 - 3         | 3                        | 2                      | 2                     | 9220         | 0                   | 9220            | 2276            | 32             | 0                     |
| 50s          | M      | 2               | High School   | Married  | $60K - $80K     | Blue          | 3 - 4         | 3                        | 4                      | 2                     | 23128        | 1958                | 21170           | 2050            | 35             | 0,09                  |
| 40s          | F      | 3               | Unknown       | Single   | $40K - $60K     | Blue          | 3 - 4         | 1                        | 5                      | 3                     | 14897        | 0                   | 14897           | 2164            | 53             | 0                     |
| 50s          | F      | 4               | Graduate      | Unknown  | Less than $40K  | Blue          | 3 - 4         | 5                        | 3                      | 3                     | 1677         | 0                   | 1677            | 2477            | 45             | 0                     |
| 40s          | F      | 3               | Unknown       | Single   | Unknown         | Blue          | 3 - 4         | 3                        | 2                      | 3                     | 1900         | 0                   | 1900            | 2298            | 45             | 0                     |
| 60s          | M      | 0               | Unknown       | Married  | $60K - $80K     | Blue          | 3 - 4         | 5                        | 1                      | 3                     | 4541         | 1037                | 3504            | 2829            | 44             | 0,23                  |
| 40s          | F      | 3               | Graduate      | Married  | Less than $40K  | Blue          | 3 - 4         | 4                        | 2                      | 1                     | 6184         | 0                   | 6184            | 1756            | 49             | 0                     |
| 40s          | F      | 1               | High School   | Unknown  | Less than $40K  | Blue          | 3 - 4         | 6                        | 3                      | 2                     | 3654         | 0                   | 3654            | 1998            | 44             | 0                     |
| 40s          | F      | 3               | Graduate      | Married  | Less than $40K  | Blue          | 3 - 4         | 4                        | 2                      | 3                     | 3889         | 2517                | 1372            | 1718            | 37             | 0,65                  |
| 40s          | M      | 2               | Graduate      | Married  | $40K - $60K     | Blue          | 2 - 3         | 4                        | 3                      | 2                     | 1889         | 0                   | 1889            | 2479            | 46             | 0                     |
| 40s          | F      | 3               | High School   | Married  | Less than $40K  | Blue          | 2 - 3         | 4                        | 2                      | 2                     | 1763         | 0                   | 1763            | 2813            | 43             | 0                     |
| 50s          | F      | 2               | High School   | Married  | Less than $40K  | Blue          | 4 - 5         | 3                        | 0                      | 2                     | 1944         | 0                   | 1944            | 2412            | 40             | 0                     |
| 40s          | F      | 3               | Uneducated    | Married  | $40K - $60K     | Blue          | 2 - 3         | 6                        | 4                      | 3                     | 1438         | 0                   | 1438            | 2116            | 38             | 0                     |
| 40s          | M      | 3               | Graduate      | Married  | $40K - $60K     | Blue          | 1 - 2         | 5                        | 3                      | 2                     | 5791         | 2517                | 3274            | 2516            | 64             | 0,43                  |
| 40s          | F      | 2               | Unknown       | Married  | Unknown         | Blue          | 3 - 4         | 6                        | 2                      | 3                     | 4382         | 0                   | 4382            | 2446            | 34             | 0                     |
| 40s          | F      | 4               | Graduate      | Married  | Less than $40K  | Blue          | 2 - 3         | 4                        | 2                      | 2                     | 3159         | 0                   | 3159            | 2925            | 46             | 0                     |
| 50s          | M      | 2               | Uneducated    | Married  | $60K - $80K     | Blue          | 3 - 4         | 3                        | 3                      | 2                     | 2527         | 1030                | 1497            | 2767            | 43             | 0,41                  |
| 50s          | F      | 1               | High School   | Married  | Unknown         | Blue          | 3 - 4         | 5                        | 2                      | 3                     | 3674         | 2517                | 1157            | 2608            | 45             | 0,69                  |
| 30s          | F      | 2               | High School   | Single   | Unknown         | Blue          | 2 - 3         | 3                        | 3                      | 1                     | 2069         | 550                 | 1519            | 2716            | 43             | 0,27                  |
| 40s          | M      | 0               | Graduate      | Married  | $60K - $80K     | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 1460         | 0                   | 1460            | 2329            | 36             | 0                     |
| 30s          | M      | 2               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 4225         | 2517                | 1708            | 2659            | 43             | 0,6                   |
| 30s          | F      | 4               | Graduate      | Married  | Unknown         | Blue          | 2 - 3         | 4                        | 3                      | 3                     | 1931         | 0                   | 1931            | 2569            | 46             | 0                     |
| 40s          | M      | 3               | Post-Graduate | Single   | $40K - $60K     | Blue          | 3 - 4         | 3                        | 4                      | 2                     | 2344         | 0                   | 2344            | 2098            | 31             | 0                     |
| 40s          | F      | 3               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 5                        | 3                      | 3                     | 1764         | 0                   | 1764            | 2105            | 57             | 0                     |
| 50s          | F      | 3               | Graduate      | Married  | $40K - $60K     | Blue          | 3 - 4         | 6                        | 3                      | 4                     | 1544         | 0                   | 1544            | 1902            | 35             | 0                     |
| 40s          | F      | 3               | Uneducated    | Married  | Less than $40K  | Blue          | 2 - 3         | 6                        | 3                      | 3                     | 1684         | 0                   | 1684            | 2275            | 45             | 0                     |
| 40s          | F      | 3               | Unknown       | Married  | $40K - $60K     | Blue          | 2 - 3         | 4                        | 2                      | 3                     | 1438         | 0                   | 1438            | 2191            | 51             | 0                     |
| 50s          | F      | 2               | Unknown       | Unknown  | Less than $40K  | Blue          | 3 - 4         | 4                        | 3                      | 3                     | 1438         | 0                   | 1438            | 2145            | 41             | 0                     |
| 50s          | M      | 1               | Unknown       | Divorced | $80K - $120K    | Blue          | 3 - 4         | 4                        | 4                      | 2                     | 5763         | 0                   | 5763            | 2310            | 48             | 0                     |
| 40s          | F      | 5               | Post-Graduate | Married  | Less than $40K  | Blue          | 2 - 3         | 5                        | 3                      | 3                     | 1495         | 0                   | 1495            | 2622            | 70             | 0                     |
| 30s          | F      | 2               | Graduate      | Married  | $40K - $60K     | Blue          | 2 - 3         | 5                        | 3                      | 2                     | 1959         | 662                 | 1297            | 3046            | 52             | 0,34                  |
| 50s          | F      | 2               | Unknown       | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 3                      | 2                     | 1438         | 910                 | 528             | 2370            | 44             | 0,63                  |
| 30s          | F      | 2               | High School   | Single   | Unknown         | Blue          | 2 - 3         | 3                        | 2                      | 2                     | 5956         | 2517                | 3439            | 2828            | 46             | 0,42                  |
| 30s          | F      | 2               | Graduate      | Divorced | Less than $40K  | Blue          | 2 - 3         | 5                        | 2                      | 3                     | 2092         | 0                   | 2092            | 2015            | 33             | 0                     |
| 40s          | F      | 2               | Uneducated    | Single   | Less than $40K  | Blue          | 2 - 3         | 4                        | 3                      | 6                     | 1628         | 275                 | 1353            | 2219            | 49             | 0,17                  |
| 50s          | F      | 4               | High School   | Married  | Less than $40K  | Blue          | 2 - 3         | 1                        | 3                      | 2                     | 3546         | 0                   | 3546            | 2616            | 47             | 0                     |
| 30s          | F      | 3               | High School   | Unknown  | Less than $40K  | Blue          | 2 - 3         | 5                        | 3                      | 3                     | 2989         | 2387                | 602             | 2143            | 67             | 0,8                   |
| 40s          | M      | 3               | Graduate      | Single   | $80K - $120K    | Blue          | 2 - 3         | 1                        | 2                      | 2                     | 6921         | 0                   | 6921            | 2729            | 44             | 0                     |
| 40s          | M      | 3               | Doctorate     | Divorced | $80K - $120K    | Blue          | 2 - 3         | 5                        | 3                      | 3                     | 9949         | 0                   | 9949            | 2207            | 40             | 0                     |
| 30s          | F      | 2               | Graduate      | Married  | Less than $40K  | Blue          | 1 - 2         | 4                        | 2                      | 2                     | 1666         | 813                 | 853             | 2622            | 60             | 0,49                  |
| 40s          | F      | 1               | College       | Married  | $40K - $60K     | Blue          | 2 - 3         | 4                        | 2                      | 4                     | 1737         | 1689                | 48              | 2459            | 43             | 0,97                  |
| 40s          | F      | 1               | Uneducated    | Married  | Unknown         | Blue          | 3 - 4         | 5                        | 2                      | 2                     | 1438         | 0                   | 1438            | 2171            | 38             | 0                     |
| 50s          | M      | 2               | Doctorate     | Married  | $120K +         | Silver        | 3 - 4         | 6                        | 3                      | 3                     | 34516        | 0                   | 34516           | 2573            | 55             | 0                     |
| 40s          | M      | 4               | College       | Married  | $40K - $60K     | Blue          | 2 - 3         | 6                        | 3                      | 3                     | 4373         | 0                   | 4373            | 2397            | 46             | 0                     |
| 40s          | M      | 2               | Unknown       | Married  | $80K - $120K    | Blue          | 2 - 3         | 5                        | 2                      | 3                     | 12073        | 0                   | 12073           | 2400            | 52             | 0                     |
| 40s          | F      | 4               | Post-Graduate | Married  | Unknown         | Blue          | 3 - 4         | 4                        | 4                      | 4                     | 6451         | 0                   | 6451            | 2400            | 43             | 0                     |
| 50s          | M      | 2               | College       | Single   | $120K +         | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 34516        | 0                   | 34516           | 2329            | 47             | 0                     |
| 40s          | F      | 3               | Uneducated    | Married  | Less than $40K  | Blue          | 2 - 3         | 6                        | 3                      | 3                     | 1897         | 0                   | 1897            | 2866            | 47             | 0                     |
| 50s          | F      | 1               | College       | Single   | Less than $40K  | Blue          | 3 - 4         | 3                        | 5                      | 3                     | 2114         | 546                 | 1568            | 2578            | 42             | 0,26                  |
| 30s          | M      | 4               | Uneducated    | Single   | $60K - $80K     | Blue          | 1 - 2         | 3                        | 2                      | 6                     | 3940         | 1384                | 2556            | 3257            | 53             | 0,35                  |
| 30s          | M      | 4               | Graduate      | Unknown  | $60K - $80K     | Blue          | 1 - 2         | 5                        | 2                      | 3                     | 8632         | 0                   | 8632            | 2221            | 40             | 0                     |
| 50s          | M      | 3               | High School   | Married  | $80K - $120K    | Blue          | 3 - 4         | 3                        | 4                      | 3                     | 3288         | 2517                | 771             | 2717            | 46             | 0,77                  |
| 60s          | M      | 0               | Post-Graduate | Divorced | $60K - $80K     | Silver        | 3 - 4         | 4                        | 5                      | 6                     | 28229        | 287                 | 27942           | 2281            | 45             | 0,01                  |
| 50s          | F      | 2               | Unknown       | Single   | $40K - $60K     | Blue          | 2 - 3         | 3                        | 3                      | 2                     | 2762         | 0                   | 2762            | 2571            | 44             | 0                     |
| 40s          | F      | 3               | Post-Graduate | Single   | Less than $40K  | Blue          | 2 - 3         | 5                        | 1                      | 2                     | 2214         | 915                 | 1299            | 2144            | 51             | 0,41                  |
| 40s          | F      | 2               | Uneducated    | Divorced | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 4                     | 6811         | 0                   | 6811            | 1937            | 39             | 0                     |
| 50s          | F      | 3               | Unknown       | Single   | Less than $40K  | Blue          | 3 - 4         | 4                        | 3                      | 4                     | 1741         | 0                   | 1741            | 2546            | 42             | 0                     |
| 50s          | M      | 2               | Uneducated    | Married  | $60K - $80K     | Blue          | 2 - 3         | 4                        | 3                      | 4                     | 2189         | 382                 | 1807            | 2750            | 51             | 0,17                  |
| 40s          | M      | 3               | Doctorate     | Single   | $40K - $60K     | Blue          | 3 - 4         | 5                        | 2                      | 3                     | 4354         | 0                   | 4354            | 2750            | 59             | 0                     |
| 50s          | M      | 2               | Uneducated    | Unknown  | $80K - $120K    | Blue          | 2 - 3         | 5                        | 3                      | 3                     | 4316         | 0                   | 4316            | 1920            | 53             | 0                     |
| 30s          | F      | 2               | Graduate      | Married  | Less than $40K  | Blue          | 1 - 2         | 6                        | 2                      | 2                     | 3116         | 0                   | 3116            | 2768            | 45             | 0                     |
| 40s          | M      | 3               | Unknown       | Married  | $120K +         | Blue          | 2 - 3         | 4                        | 3                      | 2                     | 24868        | 794                 | 24074           | 2510            | 32             | 0,03                  |
| 30s          | F      | 1               | Uneducated    | Unknown  | Less than $40K  | Blue          | 2 - 3         | 1                        | 2                      | 3                     | 3074         | 0                   | 3074            | 2721            | 54             | 0                     |
| 40s          | F      | 4               | High School   | Single   | $40K - $60K     | Blue          | 3 - 4         | 4                        | 3                      | 3                     | 10587        | 2517                | 8070            | 2971            | 54             | 0,24                  |
| 40s          | F      | 1               | High School   | Married  | Less than $40K  | Blue          | 3 - 4         | 5                        | 4                      | 1                     | 1438         | 0                   | 1438            | 1843            | 44             | 0                     |
| 40s          | M      | 3               | College       | Married  | $80K - $120K    | Blue          | 2 - 3         | 3                        | 2                      | 2                     | 3031         | 2517                | 514             | 2188            | 50             | 0,83                  |
| 30s          | M      | 3               | College       | Married  | $60K - $80K     | Blue          | 2 - 3         | 5                        | 2                      | 2                     | 6114         | 1461                | 4653            | 2608            | 36             | 0,24                  |
| 50s          | F      | 5               | Unknown       | Single   | Less than $40K  | Blue          | 2 - 3         | 4                        | 2                      | 3                     | 1438         | 0                   | 1438            | 2244            | 54             | 0                     |
| 40s          | F      | 3               | Graduate      | Married  | $40K - $60K     | Blue          | 2 - 3         | 4                        | 3                      | 3                     | 2701         | 2498                | 203             | 2678            | 37             | 0,93                  |
| 40s          | M      | 2               | College       | Married  | $40K - $60K     | Silver        | 2 - 3         | 5                        | 3                      | 4                     | 16547        | 0                   | 16547           | 1561            | 41             | 0                     |
| 40s          | F      | 1               | Uneducated    | Divorced | $40K - $60K     | Blue          | 3 - 4         | 6                        | 2                      | 2                     | 2173         | 0                   | 2173            | 2379            | 57             | 0                     |
| 30s          | F      | 3               | High School   | Married  | Less than $40K  | Blue          | 2 - 3         | 4                        | 3                      | 3                     | 1438         | 0                   | 1438            | 2478            | 45             | 0                     |
| 50s          | F      | 1               | Post-Graduate | Married  | Less than $40K  | Blue          | 2 - 3         | 6                        | 2                      | 2                     | 2802         | 2256                | 546             | 2371            | 46             | 0,81                  |
| 50s          | F      | 1               | Unknown       | Single   | Unknown         | Blue          | 4 - 5         | 5                        | 2                      | 2                     | 8513         | 799                 | 7714            | 2119            | 37             | 0,09                  |
| 50s          | F      | 1               | Uneducated    | Married  | Less than $40K  | Blue          | 2 - 3         | 5                        | 3                      | 2                     | 2258         | 2000                | 258             | 2500            | 42             | 0,89                  |
| 40s          | F      | 3               | Unknown       | Married  | Less than $40K  | Blue          | 2 - 3         | 5                        | 3                      | 3                     | 1654         | 0                   | 1654            | 1730            | 30             | 0                     |
| 40s          | M      | 4               | Graduate      | Married  | $80K - $120K    | Blue          | 2 - 3         | 2                        | 3                      | 3                     | 23542        | 1307                | 22235           | 2152            | 46             | 0,06                  |
| 50s          | F      | 1               | Uneducated    | Single   | Less than $40K  | Blue          | 3 - 4         | 5                        | 3                      | 4                     | 1717         | 0                   | 1717            | 3004            | 46             | 0                     |
| 40s          | F      | 0               | College       | Married  | Less than $40K  | Blue          | 3 - 4         | 5                        | 4                      | 2                     | 7499         | 1083                | 6416            | 2478            | 45             | 0,14                  |
| 30s          | M      | 4               | Post-Graduate | Married  | $120K +         | Blue          | 2 - 3         | 6                        | 3                      | 3                     | 8700         | 1742                | 6958            | 2306            | 50             | 0,2                   |
| 50s          | M      | 3               | Unknown       | Single   | $60K - $80K     | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 14266        | 1341                | 12925           | 1625            | 34             | 0,09                  |
| 60s          | M      | 0               | Graduate      | Married  | $60K - $80K     | Blue          | 4 - 5         | 6                        | 2                      | 3                     | 9918         | 850                 | 9068            | 2485            | 40             | 0,09                  |
| 50s          | M      | 2               | Graduate      | Single   | $80K - $120K    | Blue          | 2 - 3         | 5                        | 3                      | 2                     | 1438         | 327                 | 1111            | 1783            | 40             | 0,23                  |
| 40s          | F      | 3               | Uneducated    | Married  | Less than $40K  | Blue          | 3 - 4         | 5                        | 3                      | 2                     | 4960         | 0                   | 4960            | 2430            | 48             | 0                     |
| 40s          | F      | 4               | Graduate      | Married  | $40K - $60K     | Blue          | 2 - 3         | 5                        | 3                      | 1                     | 4152         | 1446                | 2706            | 2218            | 30             | 0,35                  |
| 60s          | M      | 0               | College       | Unknown  | $40K - $60K     | Blue          | 4 - 5         | 2                        | 6                      | 2                     | 3477         | 0                   | 3477            | 2113            | 40             | 0                     |
| 40s          | M      | 3               | Graduate      | Married  | $120K +         | Blue          | 2 - 3         | 5                        | 3                      | 2                     | 2269         | 0                   | 2269            | 2108            | 39             | 0                     |
| 40s          | F      | 2               | College       | Unknown  | Less than $40K  | Blue          | 2 - 3         | 6                        | 1                      | 3                     | 2387         | 2013                | 374             | 2134            | 41             | 0,84                  |
| 50s          | F      | 5               | High School   | Married  | Unknown         | Blue          | 3 - 4         | 5                        | 3                      | 3                     | 5342         | 605                 | 4737            | 2426            | 46             | 0,11                  |
| 50s          | F      | 2               | Graduate      | Unknown  | Less than $40K  | Blue          | 3 - 4         | 5                        | 3                      | 2                     | 1695         | 913                 | 782             | 2130            | 48             | 0,54                  |
| 50s          | F      | 1               | Graduate      | Married  | Less than $40K  | Blue          | 4 - 5         | 3                        | 3                      | 3                     | 3173         | 2517                | 656             | 2763            | 51             | 0,79                  |
| 40s          | M      | 5               | High School   | Unknown  | $80K - $120K    | Blue          | 3 - 4         | 3                        | 3                      | 2                     | 1504         | 0                   | 1504            | 2530            | 43             | 0                     |
| 40s          | F      | 3               | Graduate      | Divorced | $40K - $60K     | Blue          | 3 - 4         | 1                        | 3                      | 3                     | 1477         | 0                   | 1477            | 2214            | 43             | 0                     |
| 50s          | F      | 2               | High School   | Single   | Less than $40K  | Blue          | 3 - 4         | 5                        | 4                      | 2                     | 2423         | 268                 | 2155            | 2516            | 59             | 0,11                  |
| 40s          | M      | 3               | College       | Married  | $60K - $80K     | Blue          | 2 - 3         | 2                        | 3                      | 3                     | 1438         | 0                   | 1438            | 1707            | 38             | 0                     |
| 30s          | F      | 3               | High School   | Married  | Unknown         | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 9874         | 0                   | 9874            | 2446            | 47             | 0                     |
| 40s          | M      | 4               | High School   | Divorced | Less than $40K  | Blue          | 2 - 3         | 4                        | 2                      | 3                     | 3489         | 2517                | 972             | 2684            | 39             | 0,72                  |
| 40s          | F      | 3               | Unknown       | Married  | Less than $40K  | Blue          | 2 - 3         | 6                        | 3                      | 3                     | 2910         | 0                   | 2910            | 2648            | 41             | 0                     |
| 50s          | F      | 0               | Doctorate     | Single   | Less than $40K  | Blue          | 2 - 3         | 4                        | 3                      | 2                     | 2708         | 0                   | 2708            | 2321            | 45             | 0                     |
| 40s          | M      | 2               | Doctorate     | Divorced | $80K - $120K    | Blue          | 2 - 3         | 1                        | 3                      | 3                     | 1438         | 0                   | 1438            | 2388            | 42             | 0                     |
| 50s          | F      | 3               | Graduate      | Married  | Less than $40K  | Blue          | 2 - 3         | 5                        | 3                      | 3                     | 2566         | 1079                | 1487            | 2340            | 36             | 0,42                  |
| 40s          | F      | 4               | Unknown       | Married  | $40K - $60K     | Blue          | 2 - 3         | 1                        | 3                      | 4                     | 3356         | 2517                | 839             | 2032            | 39             | 0,75                  |
| 40s          | F      | 3               | Graduate      | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 1                     | 1438         | 0                   | 1438            | 2658            | 43             | 0                     |
| 30s          | M      | 3               | Graduate      | Married  | $80K - $120K    | Blue          | 1 - 2         | 5                        | 3                      | 2                     | 5015         | 1963                | 3052            | 2491            | 43             | 0,39                  |
| 30s          | F      | 2               | High School   | Single   | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 1568         | 0                   | 1568            | 2812            | 59             | 0                     |
| 40s          | F      | 3               | Graduate      | Married  | Unknown         | Blue          | 2 - 3         | 3                        | 3                      | 1                     | 5590         | 0                   | 5590            | 1507            | 32             | 0                     |
| 40s          | F      | 4               | College       | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 2                      | 3                     | 1745         | 0                   | 1745            | 2297            | 44             | 0                     |
| 40s          | M      | 3               | Graduate      | Single   | $80K - $120K    | Blue          | 3 - 4         | 1                        | 3                      | 3                     | 8383         | 0                   | 8383            | 2600            | 44             | 0                     |
| 30s          | F      | 2               | Unknown       | Married  | $40K - $60K     | Blue          | 2 - 3         | 6                        | 2                      | 2                     | 1628         | 0                   | 1628            | 2527            | 41             | 0                     |
| 30s          | F      | 4               | Post-Graduate | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 1586         | 0                   | 1586            | 2109            | 41             | 0                     |
| 40s          | F      | 4               | Doctorate     | Unknown  | Unknown         | Blue          | 2 - 3         | 5                        | 3                      | 6                     | 1438         | 0                   | 1438            | 2316            | 48             | 0                     |
| 50s          | F      | 4               | Graduate      | Single   | $40K - $60K     | Blue          | 3 - 4         | 2                        | 3                      | 2                     | 4708         | 920                 | 3788            | 2179            | 50             | 0,2                   |
| 40s          | F      | 4               | Uneducated    | Married  | Less than $40K  | Blue          | 1 - 2         | 3                        | 2                      | 3                     | 3214         | 0                   | 3214            | 2119            | 44             | 0                     |
| 50s          | M      | 4               | High School   | Single   | $80K - $120K    | Silver        | 4 - 5         | 1                        | 3                      | 4                     | 34516        | 214                 | 34302           | 1201            | 22             | 0,01                  |
| 30s          | F      | 2               | Graduate      | Divorced | Unknown         | Blue          | 2 - 3         | 2                        | 3                      | 4                     | 12373        | 0                   | 12373           | 2462            | 40             | 0                     |
| 40s          | F      | 3               | High School   | Married  | $40K - $60K     | Blue          | 2 - 3         | 6                        | 3                      | 1                     | 1585         | 1381                | 204             | 2360            | 40             | 0,87                  |
| 30s          | F      | 1               | Uneducated    | Single   | $40K - $60K     | Blue          | 2 - 3         | 5                        | 3                      | 6                     | 3911         | 0                   | 3911            | 2867            | 42             | 0                     |
